"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.85749088909333,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.7897292037308,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.80850037966263,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.9567962583694,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.86457971377721,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.59430727676754,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.10339899996726,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.88116816669575,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.5738857161669,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.18615096094355,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.25926860013874,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1990",4.58635197663518,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1991",4.24657101004165,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1992",4.5484985752826,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1993",3.31818793813379,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1994",4.90722694372029,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1995",4.59758640204922,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1996",4.74034597851592,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1997",4.65061443908599,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1998",4.50736257609621,
"JPN","CROPYIELD","RICE","TONNE_HA","A","1999",4.64907718094804,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2000",4.85759322006454,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2001",4.80987221542732,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2002",4.7709917058785,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2003",4.23997117091652,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2004",4.64984126956791,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2005",4.81890035141741,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2006",4.59226066323506,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2007",4.71899820653204,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2008",4.91311493516207,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2009",4.72749014749215,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2010",4.72088329209331,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2011",4.8300837560387,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2012",4.8841480072812,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2013",4.87676172577381,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2014",5.01492571396731,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2015",5.19054980045215,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2016",5.3259044488954,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2017",5.17712665442734,
"JPN","CROPYIELD","RICE","TONNE_HA","A","2018",5.33261602189984,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1990",3.65591397709066,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1991",3.17972350097205,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.53846153681191,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1993",3.47494553187639,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1994",3.71955233461517,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1995",2.9345670833215,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1996",3.01577286875976,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1997",3.63809523578534,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1998",3.51418002249434,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","1999",3.45379146714823,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2000",3.75956283947565,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.55510411195779,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2002",4.0067665519542,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.0339302525759,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.03755868355044,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.08878504481832,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.83944953952319,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2007",4.33333333126984,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.21531100276779,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.2366778669051,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.75978733554384,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.52860519927725,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2012",4.10133843016188,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.86298762899002,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2014",4.00752586829373,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2015",4.71140309492661,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2016",4.17081375561762,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.19166782439644,
"JPN","CROPYIELD","WHEAT","TONNE_HA","A","2018",4.21263118041636,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1990",4.50517904621762,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1991",4.45559660852447,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1992",4.60791349143537,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1993",4.18164449713671,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1994",4.58890557618039,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1995",4.44653687729465,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1996",5.07163219446398,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1997",5.17824676046748,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1998",4.81324869374251,
"KOR","CROPYIELD","RICE","TONNE_HA","A","1999",4.93592683523345,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2000",4.93375004500027,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2001",5.09156006877401,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2002",4.67794482601573,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2003",4.38090902784555,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2004",4.99436053563976,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2005",4.86708712772494,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2006",4.89933932021543,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2007",4.63850881298201,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2008",5.17594996984546,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2009",5.31772224274015,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2010",4.81508596766467,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2011",4.94718343205241,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2012",4.71775447085894,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2013",5.08033148114934,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2014",5.20013218723098,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2015",5.41308247695447,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2016",5.38912003259276,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2017",5.33411156556671,
"KOR","CROPYIELD","RICE","TONNE_HA","A","2018",5.36298511976976,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1990",3.02380849530323,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1991",3.09550387893041,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.36585160618805,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1993",2.71115124110581,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1994",3.70446671744558,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1995",4.43858112289874,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1996",3.91926788951317,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1997",4.0440694208885,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1998",3.4846936235646,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","1999",3.66992800587554,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2000",2.54515750324728,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2001",3.10491769345162,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2002",3.22676973303265,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2003",3.05120380825347,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2004",3.32885012318433,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2005",3.2058453776265,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2006",3.34292270754185,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2007",3.81275913834237,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2008",4.06394648631046,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2009",3.70672974725222,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2010",3.11730950655635,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2011",3.34843603688718,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2012",3.90979186743644,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.58524342078878,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.26030636127707,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.62336241937909,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.41987835166802,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.44548475101061,
"KOR","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.47025638209986,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1990",2.66666666311111,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1991",2.71428571040816,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1992",2.85714285306122,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1993",3.2158468870937,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1994",2.80863091392702,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1995",3.08825711305823,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1996",2.99718246214803,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1997",2.7300629095178,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1998",2.9770906290288,
"MEX","CROPYIELD","RICE","TONNE_HA","A","1999",2.9086574618461,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2000",2.96701545426039,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2001",4.2575847553722,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2002",4.50270445925559,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2003",4.5511242909724,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2004",4.46450657628368,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2005",5.06529210893034,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2006",3.14901955729153,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2007",2.73311114825876,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2008",2.93594236066773,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2009",3.19142041213499,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2010",3.41510541656192,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2011",3.35328370478719,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2012",3.6999849603369,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2013",3.56975791048858,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2014",3.7586472933951,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2015",3.82158256986497,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2016",3.88128718971789,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2017",3.82050568390377,
"MEX","CROPYIELD","RICE","TONNE_HA","A","2018",3.8793339248675,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1990",4.2132904604273,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1991",4.12721924722152,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1992",3.95302342398333,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1993",4.0821082085326,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1994",4.30338222503832,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1995",3.73195018742171,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1996",4.17064122632989,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1997",4.73466243110092,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1998",4.20771964088843,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","1999",4.63115131003662,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2000",4.93553185759337,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2001",4.76604922286213,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2002",5.09989159953189,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2003",4.49141190977012,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2004",4.47834001200019,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2005",4.75169410319769,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2006",5.22740927619592,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2007",5.0824028168491,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2008",5.08436565424384,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2009",4.96876240044864,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2010",5.41845088100845,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2011",5.47779202445258,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2012",5.65675700866335,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2013",5.29342466413383,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2014",5.19354135415891,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2015",4.52564842551916,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2016",4.74185463599726,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2017",4.82034813857535,
"MEX","CROPYIELD","WHEAT","TONNE_HA","A","2018",4.86953108829799,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1990",4.81493323523081,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1991",5.05434292389781,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1992",5.36976577819983,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1993",5.43648705141617,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1994",4.6822695758713,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1995",5.53341854993125,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1996",5.49425010384452,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1997",5.90456777725983,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1998",5.33337714112247,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","1999",6.63599677121595,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2000",7.42857141341108,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2001",7.14452604942055,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2002",7.48453412934866,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2003",6.5500998245095,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2004",8.09202078373203,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2005",6.89631735183521,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2006",8.49657109749724,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2007",8.11203513653065,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2008",7.49179261059199,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2009",8.12406411722716,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2010",7.28579574312639,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2011",8.92445660470419,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2012",9.10530701686599,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2013",8.62674203324138,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2014",8.67218200970498,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2015",9.13021070781941,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2016",9.05344399468312,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2017",8.95194557162868,
"NZL","CROPYIELD","WHEAT","TONNE_HA","A","2018",9.00968354654522,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1990",3.00000012866133,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1991",2.85000003582567,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1992",2.99999999302326,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1993",3.00000004871913,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1994",2.92682930367717,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1995",2.40000008570626,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1996",3.05454544899174,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1997",2.99999999454545,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1998",3.14999999475,
"TUR","CROPYIELD","RICE","TONNE_HA","A","1999",3.13846153363314,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2000",3.62068975118845,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2001",3.66101694294743,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2002",3.6000001356502,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2003",3.43384627626558,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2004",4.199999994,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2005",4.23529411612967,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2006",4.21818181392103,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2007",4.13617034148934,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2008",4.517999995482,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2009",4.66804996117341,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2010",5.21212120685644,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2011",5.43259556797526,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2012",4.41102773939466,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2013",4.88245930842454,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2014",4.58141673911553,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2015",4.76272665834853,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2016",4.67796609773054,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2017",4.72474577502665,
"TUR","CROPYIELD","RICE","TONNE_HA","A","2018",4.76859432672296,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","1990",2.12277353687317,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","1991",2.12742237964026,
"TUR","CROPYIELD","WHEAT","TONNE_HA","A","1992",2.0392695027759,
